title,authors,rating,year,month,day
  said the shotgun to the head.,Saul Williams,4.22,2003,9,1
$30 Film School: How to Write  Direct  Produce  Shoot  Edit  Distribute  Tour With  and Sell Your Own No-Budget Digital Movie,Michael W. Dean,3.49,2003,5,13
'Salem's Lot,Stephen King,4.02,1976,8,1
'Salem's Lot,Stephen King,4.02,1975,10,17
'Salem's Lot,Stephen King,4.02,1979,11,13
'Salem's Lot,Stephen King,4.02,2010,10,6
'Salem's Lot,Stephen King/Jerry N. Uelsmann,4.25,2005,11,1
'Salem's Lot,Stephen King/Ron McLarty,4.02,2004,1,19
'Salem's Lot,Stephen King,4.02,1976,8,1
'Salem's Lot,Stephen King/Ron McLarty,4.02,2004,1,19
1 000 Places to See Before You Die,Patricia Schultz,3.85,2003,5,22
10 lb Penalty,Dick Francis,3.9,2004,8,3
100 Great Fantasy Short Short Stories,Isaac Asimov/Terry Carr/Martin H. Greenberg/Janet  Fox,3.91,1985,8,1
100 Love Sonnets,Pablo Neruda/Stephen Tapscott,4.39,1986,1,1
100 Years of Lynchings,Ralph Ginzburg,4.61,1996,11,22
1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,2005,5,15
1000 Rings: Inspiring Adornments for the Hand,Marthe Le Van/Robert W. Ebendorf/Lark Books,4.23,2004,8,1
1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen    Jones,3.46,1988,4,1
101 Stories of the Great Ballets: The Scene-by-Scene Stories of the Most Popular Ballets  Old and New,George Balanchine/Francis Mason,4.0,1975,5,20
11 de Septiembre,Noam Chomsky,3.73,2002,9,3
13 Little Blue Envelopes (Little Blue Envelope  #1),Maureen Johnson,3.64,2010,12,21
13th Directorate,Barry Chubin,2.62,1989,2,28
1421: The Year China Discovered America,Gavin Menzies,3.6,2004,1,1
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,4.02,2006,10,10
1599: A Year in the Life of William Shakespeare,James Shapiro,4.09,2005,9,1
1632,Eric Flint,4.04,2006,6,15
1635: The Cannon Law (Assiti Shards  #8),Eric Flint/Andrew Dennis,3.76,2006,9,26
1776,David McCullough,4.07,2006,7,4
1776,Peter  Stone/Sherman Edwards,4.22,1976,11,18
18 Best Stories by Edgar Allan Poe,Edgar Allan Poe/Vincent  Price/Chandler Brossard,4.02,1965,4,15
1848: The Revolution of the Intellectuals,Lewis B. Namier/James Joll,3.11,1992,3,12
1912 Manuscript on the Special Theory of Relativity,Albert Einstein/Hanoch Gutfreund,4.41,2004,5,17
1919 (U.S.A.  #2),John Dos Passos/E.L. Doctorow,4.0,2000,5,25
1968: The Year That Rocked the World,Mark Kurlansky,3.78,2005,1,11
1968: War and Democracy,Eugene J. McCarthy/Christopher Hitchens,4.5,2000,9,23
1984,George Orwell/Mauricio Molina/Miguel Martínez Sarmiento,4.18,2002,8,1
1984,George Orwell/Erich Fromm,4.18,1981,7,1
1st To Die (The Women's Murder Club  #1),James Patterson,4.08,2002,2,1
1st to Die (Women's Murder Club  #1),James Patterson,4.08,2005,5,20
20 000 Leagues Under The Sea,Pauline Francis/Jules Verne,3.76,2004,8,1
20 000 Leagues Under the Sea,Ron     Miller/Jules Verne/Paul   Wright,3.76,1998,10,8
200 Quilt Blocks: To Mix and Match,Davina Thomas,4.09,2005,10,1
2006 International Building Code,International Code Council (ICC),3.27,2006,3,6
2012: The Return of Quetzalcoatl,Daniel Pinchbeck,3.42,2006,5,4
22 Indigo Place,Sandra Brown,3.63,1997,2,25
23 Days in July: Inside the Tour de France and Lance Armstrong's Record-Breaking Victory,John Wilcockson/Graham   Watson,3.67,2005,6,15
25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,John C. Maxwell/Les Parrott III,4.11,2005,6,5
2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,4.04,2005,5,20
2nd Chance (Women's Murder Club #2),James Patterson/Melissa Leo/Jeremy Piven/Andrew Gross,4.04,2006,2,27
3rd Degree,James Patterson/Andrew Gross/Carolyn McCormick,4.02,2004,3,1
3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,4.02,2005,5,20
4:50 from Paddington / A Pocket Full of Rye (BBC Presents: Two Miss Marple Dramas),Agatha Christie,3.94,1999,5,4
4th of July (Women's Murder Club  #4),James Patterson/Maxine Paetro,4.07,2006,6,1
50 Great Curries of India,Camellia Panjabi,4.15,2005,12,30
7 Steps to Midnight,Richard Matheson,3.48,2003,7,18
7 hábitos de las familias altamente efectivas,Stephen R. Covey,4.16,2003,9,1
72 Hour Hold,Bebe Moore Campbell,3.81,2006,7,11
9-11,Noam Chomsky/Greg Ruggiero/Marili Margomenou/Miguel Mora/Natalie Levisalles/Il Manifesto/Hartford Courant/David Barsamian/Radio B92/Elise Fried/Peter Kreysler/Gionarle del Popolo/Michael Albert,3.73,2001,12,4
A Backward Glance,Edith Wharton/Louis Auchincloss,3.76,1998,7,15
A Beautiful Mind,Sylvia Nasar,4.13,2002,2,4
A Bend in the River,V.S. Naipaul,3.77,2002,5,10
A Bend in the Road,Nicholas Sparks,4.03,2005,4,1
A Birthday for Frances,Russell Hoban/Lillian Hoban,4.24,2002,6,6
A Bite to Remember (Argeneau #5),Lynsay Sands,4.24,2006,6,27
A Book of Blue Flowers,Robert L. Geneve,3.83,2006,2,1
A Book of Common Prayer,Joan Didion,3.8,1995,4,11
A Box of Matches,Nicholson Baker,3.67,2004,3,9
A Break With Charity: A Story of the Salem Witch Trials,Ann Rinaldi,3.79,1994,4,1
A Break with Charity: A Story about the Salem Witch Trials,Ann Rinaldi,3.79,2003,7,1
A Breath of Snow and Ashes (Outlander  #6),Diana Gabaldon,4.44,2006,8,29
A Brief History of Time,Stephen Hawking,4.17,1998,9,1
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,4.22,2005,9,27
A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy/Peter Sekirin,4.07,1997,10,14
A Caress of Twilight (Merry Gentry  #2),Laurell K. Hamilton,4.06,2005,3,15
A Cargo of Women: Susannah Watson and the Convicts of the Princess Royal,Babette Smith,3.58,2005,6,1
A Caribbean Mystery,Agatha Christie/Rosalind Ayres,3.8,2006,10,9
A Caribbean Mystery (Miss Marple  #10),Agatha Christie,3.8,2000,3,1
A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen/Edward Asner,4.45,2000,1,4
A Case of Need,Jeffery Hudson/Michael Crichton,3.72,2003,8,5
A Cat  a Man  and Two Women,Jun'ichirō Tanizaki/Paul McCarthy,3.8,1992,4,1
A Cavern of Black Ice (Sword of Shadows  #1),J.V. Jones,3.87,2005,3,1
A Certain Justice (Abe Glitsky  #1),John Lescroart,4.01,2006,2,7
A Certain Justice (Adam Dalgliesh  #10),P.D. James,3.93,2006,3,28
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,2005,11,1
A Child's Garden of Verses,Robert Louis Stevenson/Tasha Tudor,4.3,1999,2,1
A Chosen Few: The Resurrection of European Jewry (Reader's Circle),Mark Kurlansky,3.87,2002,3,26
A Christmas Carol,Charles Dickens,4.05,2012,1,1
A Christmas Carol,Charles Dickens/P.J. Lynch,4.05,2006,9,12
A Christmas Carol (Great Illustrated Classics),Malvina G. Vogel/Charles Dickens,4.36,2005,1,1
A Christmas Carol and Other Christmas Books,Charles Dickens/Robert Douglas-Fairhurst,3.96,2007,11,1
A Christmas Carol and Other Christmas Writings,Charles Dickens/Michael Slater,4.14,2003,10,30
A Christmas Carol and The Night Before Christmas,Charles Dickens/Clement C. Moore/Arthur Rackham,4.35,2006,10,3
A Christmas Memory,Truman Capote,4.24,2006,10,10
A Christmas Story,Jean Shepherd,4.08,2003,10,28
A Circle of Quiet (Crosswicks Journals #1),Madeleine L'Engle,4.21,1984,1,1
A Civil Action,Jonathan Harr,3.97,1996,8,27
A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin,4.41,2002,5,28
A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin/Roy Dotrice,4.41,2004,2,17
A Clockwork Orange,Anthony Burgess,3.99,1998,9,3
A Clockwork Orange,Anthony Burgess/Blake Morrison,3.99,2000,2,24
A Clockwork Orange (Stage Play),Anthony Burgess,3.84,2017,3,10
A Cold Treachery (Inspector Ian Rutledge  #7),Charles Todd,4.15,2005,8,30
A Collection of Rudyard Kipling's Just So Stories,Rudyard Kipling/Christopher Corr,4.09,2004,10,7
A Companion to Plato's Republic,Nicholas P. White,3.67,1979,5,1
A Complicated Kindness,Miriam Toews,3.65,2005,8,17
A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert/Miriam Toews,4.0,2006,8,30
A Confederacy of Dunces,John Kennedy Toole,3.89,2003,2,26
A Confederacy of Dunces,John Kennedy Toole/Walker Percy,3.89,2000,3,30
A Confederate General from Big Sur / Dreaming of Babylon / The Hawkline Monster,Richard Brautigan,4.25,1991,2,4
A Conflict of Visions: Ideological Origins of Political Struggles,Thomas Sowell,4.31,2002,1,3
A Couple of April Fools (The Hamlet Chronicles #6),Gregory Maguire/Elaine Clayton,3.48,2005,3,1
A Crack in the Edge of the World,Simon Winchester,3.78,2006,10,10
A Crown of Swords (The Wheel of Time  #7),Robert Jordan,4.04,1997,11,15
A Damsel in Distress,P.G. Wodehouse,4.08,2006,11,3
A Dance At The Slaughterhouse (Matthew Scudder  #9),Lawrence Block,4.18,2000,7,3
A Dance to the Music of Time: 1st Movement (A Dance to the Music of Time  #1-3),Anthony Powell,3.95,1995,5,31
A Dance to the Music of Time: 2nd Movement (A Dance to the Music of Time  #4-6),Anthony Powell,4.29,1995,6,15
A Dance to the Music of Time: 3rd Movement (A Dance to the Music of Time  #7-9),Anthony Powell,4.26,1995,5,31
A Dance to the Music of Time: 4th Movement (A Dance to the Music of Time  #10-12),Anthony Powell,4.22,1995,5,31
A Dangerous Fortune,Ken Follett,4.05,1999,2,19
A Dangerous Man (Hank Thompson  #3),Charlie Huston,4.07,2006,9,19
A Day in the Life: The Music and Artistry of the Beatles,Mark Hertsgaard,4.16,1996,3,1
A Devilish Dilemma,Judith A. Lansdowne,4.02,1998,1,1
A Different Mirror: A History of Multicultural America,Ronald Takaki,4.13,1994,6,1
A Dirty Job (Grim Reaper  #1),Christopher Moore,4.07,2006,3,21
A Distant Mirror: The Calamitous 14th Century,Barbara W. Tuchman,4.08,1987,7,12
A Divine Revelation of Hell,Mary K. Baxter/T.L. Lowery,4.18,1993,1,1
A Door of Hope,Jan Frank,3.97,1987,4,1
A Dracula Handbook,Elizabeth Russell Miller,4.07,2005,3,23
A Drink Before the War (Kenzie & Gennaro  #1),Dennis Lehane,3.95,2003,9,15
A Dubious Codicil,Michael Wharton,3.25,1991,3,15
A Fabulous  Formless Darkness,David G. Hartwell/Fritz Leiber/Fitz-James O'Brien/Shirley Jackson/Ambrose Bierce/Edith Wharton/Algernon Blackwood/Thomas M. Disch/Robert Aickman/Philip K. Dick/Gene Wolfe/Charles Dickens/Stephen King/Joyce Carol Oates/Walter de la Mare/Ivan Turgenev/Robert W. Chambers/Oliver Onions,4.18,1992,1,15
A Faint Cold Fear (Grant County  #3),Karin Slaughter,4.08,2004,7,27
A Fairly Honourable Defeat,Iris Murdoch/Peter Reed,3.93,2001,3,1
A Faith Like Mine,Laura Buller/D.K. Publishing,3.91,2005,8,15
A False Mirror (Inspector Ian Rutledge  #9),Charles Todd,4.02,2007,1,9
A Fan's Notes,Frederick Exley/Jonathan Yardley,4.08,1997,8,5
A Farewell to Arms,Ernest Hemingway,3.8,1982,2,1
A Farewell to Arms,Ernest Hemingway/John Slattery,3.8,2006,5,1
A Farewell to Arms?: Beyond the Good Friday Agreement,Adrian Guelke/Michael Cox/Fiona Stephen,4.33,2006,4,18
A Fearsome Doubt (Inspector Ian Rutledge  #6),Charles Todd,4.04,2003,7,29
A Feather on the Breath of God,Sigrid Nunez,3.91,2005,12,27
A Fighting Man of Mars (Barsoom  #7),Edgar Rice Burroughs,3.84,1984,10,12
A Fine Balance,Rohinton Mistry,4.36,2001,11,30
A First Course in String Theory,Barton Zwiebach,4.16,2004,6,28
A Fistful of Charms (The Hollows  #4),Kim Harrison,4.29,2006,6,27
A Framework for Understanding Poverty,Ruby K. Payne,3.9,2006,2,9
A Free Enquiry Into the Vulgarly Received Notion of Nature,Robert Boyle/Michael Hunter/Edward B. Davis,3.0,1996,7,11
A Friar's Bloodfeud (Knights Templar  #20),Michael Jecks,4.1,2006,6,5
A Friend of the Earth,T. Coraghessan Boyle,3.67,2001,10,8
A Frolic of His Own,William Gaddis,3.85,1995,2,10
A Full House: An Austin Family Christmas (Austin Family  #5.6),Madeleine L'Engle/Mary Chambers,3.98,2000,3,7
A Game of You (The Sandman  #5),Neil Gaiman/Shawn McManus/Colleen Doran/Bryan Talbot/George Pratt/Stan Woch/Dick Giordano/Todd Klein,4.43,1999,3,10
A Garden Of Vipers (Carson Ryder  #3),Jack Kerley,3.96,2007,2,6
A Garden of Earthly Delights (Wonderland Quartet  #1),Joyce Carol Oates/Elaine Showalter,3.84,2003,4,22
A Gateway to Sindarin: A Grammar of an Elvish Language from J.R.R. Tolkien's Lord of the Rings,David Salo,3.73,2004,11,8
A General History of the Pyrates,Daniel Defoe/Manuel Schonhorn/Charles   Johnson,3.72,1999,1,26
A General Theory of Love,Thomas Lewis/Fari Amini/Richard Lannon,4.11,2001,1,9
A Gift Of Wings,Richard Bach,3.79,2001,5,11
A God in Ruins,Leon Uris,3.26,2000,9,5
A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,4.01,2006,11,1
A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,3.79,2003,12,9
A Green Desire,Anton Myrer/Alastair Westgarth,3.73,2001,12,4
A Guide to the Words of My Perfect Teacher,Ngawang Pelzang/Padmakara Translation Group/Patrul Rinpoche/Alak Zenkar,4.61,2004,6,22
A Guided Tour of 5 Works by Plato: Euthyphro/Apology/Crito/Phaedo/Cave,Christopher Biffle/Plato,4.33,1995,12,28
A Happy Death,Albert Camus/Richard Howard/Jean Sarocchi,3.82,2002,2,28
A Hard Day's Write: The Stories Behind Every Beatles Song,Steve Turner,4.18,1999,11,1
A Hard Day's Write: The Stories Behind Every Beatles Song,Steve Turner,4.18,2005,10,18
A Harlot High and Low,Honoré de Balzac/Rayner Heppenstall,4.06,1985,9,26
A Hat Full of Sky (Discworld  #32; Tiffany Aching  #2),Terry Pratchett,4.3,2005,5,5
A Heartbreaking Work of Staggering Genius,Dave Eggers,3.68,2001,2,13
A Higher Justice (The Trials of Kit Shannon #5),James Scott Bell,4.26,2003,9,1
A History of Britain: The Fate Of Empire 1776-2000 (A History of Britain  #3),Simon Schama,4.06,2002,12,18
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,3.87,1994,8,9
A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam,Karen Armstrong,3.87,2004,3,2
A History of Modern Europe  Volume 2: From the French Revolution to the Present,John M. Merriman,4.0,2004,2,1
A History of Philosophy 1: Greece and Rome,Frederick Charles Copleston,4.1,2003,6,1
A History of Venice,John Julius Norwich,4.2,1989,6,18
A History of the Life Sciences,Lois N. Magner/Magner,4.53,2002,8,13
A History of the World in 10½  Chapters,Julian Barnes,3.89,1990,11,27
A History of the World in 6 Glasses,Tom Standage,3.76,2006,5,16
A Hole in the World: An American Boyhood,Richard Rhodes,3.9,2000,4,26
A Home at the End of the World,Michael Cunningham,3.91,2004,7,1
A House Divided (House of Earth  #3),Pearl S. Buck,3.89,2006,1,1
A House Like a Lotus (O'Keefe Family  #3),Madeleine L'Engle,3.76,1985,11,1
A Hundred Camels in the Courtyard,Paul Bowles,3.98,2001,1,1
A Hunger Like No Other (Immortals After Dark  #1),Kresley Cole,4.19,2006,4,1
A Is for Abductive : The Language of the Emerging Church,Leonard Sweet/Brian D. McLaren,3.14,2002,12,24
A Jockey's Life: The Biography of Lester Piggott,Dick Francis,3.59,1987,7,12
A Killing Rain (Louis Kincaid  #6),P.J. Parrish,4.04,2005,2,1
A Killing in Comics (Jack & Maggie Starr  #1),Max Allan Collins/Terry Beatty,3.65,2007,5,1
A Kiss Before Dying,Ira Levin/Otto Penzler,3.94,2003,4,7
A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal/Kate William,3.67,1996,2,1
A Kiss Remembered,Erin St. Claire/Sandra Brown,3.47,2003,4,1
A Kiss to Remember (Once Upon a Time  #3),Teresa Medeiros,3.89,2002,4,30
A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce,4.06,2006,11,21
A Lesson Before Dying,Ernest J. Gaines,3.95,1997,9,28
A Lie and a Libel: The History of the Protocols of the Elders of Zion,Binjamin W. Segel/Richard S. Levy/Sergei Nilus,3.3,1996,8,1
A Life in Letters,F. Scott Fitzgerald/Matthew J. Bruccoli,4.22,1995,5,3
