title,year,month,day
carews freak goal leaves roma in ruins,2003,2,19
german court to give verdict on sept 11 accused,2003,2,19
antic delighted with record breaking barca,2003,2,19
digital tv will become commonplace summit,2003,2,19
air nz staff in aust strike for pay rise,2003,2,19
cemeteries miss out on funds,2003,2,19
public urged to check gas cylinders,2003,2,19
victorian scientists honoured at awards,2003,2,19
shire offers assurances over finances,2003,2,19
patterson snubs health meeting to avoid lions den,2003,2,19
fans join flower olonga in anti mugabe protest,2003,2,20
mine rating challenge result expected in march,2003,2,20
sa govt defends moves to force fine defaulters to,2003,2,20
players continue zimbabwe protest,2003,2,20
more than 60 detained after immigration raid,2003,2,20
nats seek probe bushfires probe,2003,2,20
tension increases after fighter strays into sth,2003,2,20
qfvg upset over retail prices,2003,2,20
etienne agrees to tyson fight,2003,2,20
capriati hungry again in dubai,2003,2,20
indonesia says australia travel warnings,2003,2,21
us chiropractor to address gold coast gathering,2003,2,21
drought impacting on roadworks,2003,2,21
funk leads elkington in california,2003,2,21
christmas island residents not aware of detention,2003,2,21
qld govt rejects land acquisition claims,2003,2,21
action wanted to lower indigenous unemployment rate,2003,2,21
new disability respite service,2003,2,21
death spells end to record marriage,2003,2,21
patterson no show childish wa minister,2003,2,21
al qaeda members jailed for us uk terrorist plots,2003,2,22
australia urged to abandon zimbabwe world cup match,2003,2,22
lara jumps to warnes defence,2003,2,22
adelaide break port hearts,2003,2,22
toll rises in us club fire,2003,2,22
seles to face henin hardenne in dubai final,2003,2,22
results of first aids vaccine trial to be released,2003,2,22
despite rain govt says drought isnt over,2003,2,22
call for australian human rights act,2003,2,22
croatia launches bid for eu membership,2003,2,22
warne will be back pollock,2003,2,23
odriscoll captures record as ireland downs italy,2003,2,23
forensic teams struggle to identify us club fire,2003,2,23
nine killed in violence outside karachi mosque,2003,2,23
hampshire wants warne once ban is done,2003,2,23
hussain hails special england performance,2003,2,23
new un resolution would give hussein days downer,2003,2,23
dems to block govts spending cut moves,2003,2,23
cats claw dogs pies swoop on blues,2003,2,23
colombian rebels demand rescuers back off,2003,2,23
new book explores aboriginal culture,2003,2,24
council hosts farewell for mp,2003,2,24
conference to focus on tuna fishery,2003,2,24
water safety skills workshop to be held for school,2003,2,24
emergency crews repair flood damaged homes,2003,2,24
norah jones dont know why wins song of the year,2003,2,24
rangers keep eye on park croc,2003,2,24
reed boat captain hopes to avoid sinking feeling,2003,2,24
