singer,year,month,day
Louis Armstrong,2000,1,1
Ricky Nelson,2000,1,1
Dionne Warwick,2000,1,25
Morphine,2000,2,1
Orbital,2000,2,21
Everything But The Girl,2000,2,22
Elastica,2000,4,3
The Associates,2000,8,1
Linda Ronstadt,2000,10,17
Сектор газа,2000,10,18
Isaac Hayes,2000,11,2
Bo Diddley,2000,11,14
Dean Martin,2001,1,1
Simon & Garfunkel,2001,1,1
Red House Painters,2001,4,10
Syd Barrett,2001,4,16
Immature,2001,7,3
Butthole Surfers,2001,8,28
Joy Division,2001,8,28
Muddy Waters,2001,8,28
Rage Against the Machine,2001,10,20
808 State,2002,1,1
Dexys Midnight Runners,2002,1,1
João Gilberto,2002,1,1
Midnight Oil,2002,2,19
Box Car Racer,2002,5,21
Ms. Dynamite,2002,6,10
Blue Öyster Cult,2002,9,22
The Soft Boys,2002,9,23
Suicide,2002,10,28
Youssou N’Dour,2002,11,19
Руки Вверх,2002,11,26
Aaliyah,2002,12,10
Lumen,2003,1,1
Joe Cocker,2003,1,28
Uncle Tupelo,2003,3,17
Fugees,2003,4,1
Fleetwood Mac,2003,4,15
Lynyrd Skynyrd,2003,4,16
George Harrison,2003,5,12
Toots & The Maytals,2003,5,20
Steely Dan,2003,6,10
Culture,2003,6,17
Death in Vegas,2003,6,17
ZZ Top,2003,9,8
The Wrens,2003,9,9
Carpenters,2004,2,10
Ray Charles,2004,8,31
Fela Kuti,2004,9,7
The Clash,2004,9,21
The Mamas & The Papas,2004,9,24
Nancy Sinatra,2004,9,28
XTC,2005,1,1
Geto Boys,2005,1,25
Eric B. & Rakim,2005,4,26
The Go-Betweens,2005,5,3
Carly Simon,2005,7,19
Ramones,2005,8,16
Soft Cell,2005,8,30
Run-D.M.C.,2005,9,6
Глюкоза,2005,10,10
The Pharcyde,2005,11,8
System of a Down,2005,11,22
Salif Keita,2006,1,1
Wumpscut,2006,4,7
INXS,2006,4,26
Etta James,2006,5,14
Dixie Chicks,2006,5,23
Jurassic 5,2006,7,11
New York Dolls,2006,7,25
OutKast,2006,8,26
The Rapture,2006,9,12
The Byrds,2006,9,26
Diana Ross,2006,10,1
Hall & Oates,2006,10,3
Ice-T,2006,10,31
Pulp,2006,11,11
Sublime,2006,11,14
Fort Minor,2006,11,22
Ultramagnetic MC’s,2007,1,9
The Notorious B.I.G.,2007,3,6
The Stooges,2007,3,6
Warren Zevon,2007,5,1
Meat Loaf,2007,5,7
Rick James,2007,5,15
Bad Brains,2007,5,26
The Police,2007,6,5
Happy Mondays,2007,7,30
Junior Senior,2007,8,21
Manu Chao,2007,8,30
Joni Mitchell,2007,9,25
Robert Wyatt,2007,10,6
