singer,song,album,year,month,day
Louis Armstrong,Don’t Get Around Much Anymore - 1990 Remastered Version,The Great Summit: The Master Takes,2000,1,1
Louis Armstrong,Drop Me Off In Harlem,The Great Summit: The Master Takes,2000,1,1
Morcheeba,Love Sweet Love,Fragments Of Freedom,2000,1,1
Ricky Nelson,Gloomy Sunday,Legacy,2000,1,1
The Pharcyde,The Cyde,Chapter One: Testing the Waters,2000,1,1
Dionne Warwick,On My Way,Isn’t She Great (Original Motion Picture Soundtrack),2000,1,25
D’Angelo,Greatdayndamornin’/Booty,Voodoo,2000,1,25
D’Angelo,One Mo’ Gin,Voodoo,2000,1,25
D’Angelo,Playa Playa,Voodoo,2000,1,25
D’Angelo,Send It On,Voodoo,2000,1,25
D’Angelo,Spanish Joint,Voodoo,2000,1,25
D’Angelo,The Line,Voodoo,2000,1,25
D’Angelo,The Root,Voodoo,2000,1,25
D’Angelo,Untitled (How Does It Feel),Voodoo,2000,1,25
Morphine,"I’m Yours, You’re Mine",The Night,2000,2,1
Morphine,Like a Mirror,The Night,2000,2,1
Morphine,Rope on Fire,The Night,2000,2,1
Morphine,Slow Numbers,The Night,2000,2,1
Morphine,So Many Ways,The Night,2000,2,1
Morphine,Souvenir,The Night,2000,2,1
Morphine,Take Me With You,The Night,2000,2,1
Morphine,The Night,The Night,2000,2,1
Morphine,The Way We Met,The Night,2000,2,1
Morphine,"Top Floor, Bottom Buzzer",The Night,2000,2,1
Orbital,Beached,The Beach: Motion Picture Soundtrack,2000,2,21
Everything But The Girl,Temperamental,Temperamental,2000,2,22
The The,Global Eyes,NakedSelf,2000,2,28
The The,Phantom Walls,NakedSelf,2000,2,28
The The,Salt Water,NakedSelf,2000,2,28
The The,Shrunkenman,NakedSelf,2000,2,28
The The,Soul Catcher,NakedSelf,2000,2,28
The The,Swine Fever,NakedSelf,2000,2,28
The The,The Whisperers,NakedSelf,2000,2,28
The The,Voidy Numbness,NakedSelf,2000,2,28
The The,Weather Belle,NakedSelf,2000,2,28
